"draw","transmission_row","coverage","ve","delivery","delay_weeks","hosp_rate","cfr_hosp_band_1","cfr_hosp_band_2","cfr_hosp_band_3","cfr_hosp_band_4","cfr_hosp_band_5","cfr_hosp_band_6","cfr_hosp_band_7","cfr_hosp_band_8","cfr_hosp_band_9","cfr_nonhosp_band_1","cfr_nonhosp_band_2","cfr_nonhosp_band_3","cfr_nonhosp_band_4","cfr_nonhosp_band_5","cfr_nonhosp_band_6","cfr_nonhosp_band_7","cfr_nonhosp_band_8","cfr_nonhosp_band_9","dw_mild_mod","dw_severe","dw_chronic","dur_mild_mod","dur_severe","dur_subacute","dur_chronic","life_expectancy_band_1","life_expectancy_band_2","life_expectancy_band_3","life_expectancy_band_4","life_expectancy_band_5","life_expectancy_band_6","life_expectancy_band_7","life_expectancy_band_8","life_expectancy_band_9","rec_acute_u40","rec_acute_o40","rec_subacute_u40","rec_subacute_o40","rec_chronic_u40","rec_chronic_o40"
1,438,0.4037352578064,0.984492348815635,0.093707611849366,2,0.0392534710674082,0.0190425383999419,0.0150177753996018,0.016958315904524,0.0180547470111753,0.0238858281278556,0.0263202336116957,0.0470030767149376,0.107409224080204,0.18672845810075,0.000359028893843578,0.00016805249883183,3.17807580271923e-05,6.61086426787875e-05,8.55505881844853e-05,0.000256709533620386,0.000293540363029035,0.00139518976983591,0.0041619612589861,0.0434326892559244,0.11167112429873,0.355025184695918,0.0217609863089822,0.0142351802189998,0.11549344263955,0.583301791225927,75.841864802297,62.5572361372524,53.782007890205,38.7204269711734,33.4179085116144,26.0905623291509,16.479306677167,9.65727847910273,5.90908252221913,0.417148698197239,0.349188007046354,0.297961295099788,0.277634421980923,0.301098370519869,0.388809300333316
2,377,0.295739286928857,0.988793556005732,0.0974810062104829,2,0.037330901700595,0.014151379172034,0.0180733486860415,0.0172889458797941,0.0182633428068431,0.0225917232834851,0.0274463946327803,0.0447606866294447,0.106374979975809,0.189919496291933,0.000321187357297415,0.00010693659542797,2.39463320362017e-05,8.16926119794585e-05,7.57403316133617e-05,0.000203405928479241,0.000272346973689428,0.000758421590953029,0.00363682553953805,0.0396108126328936,0.106803913208619,0.29410105952327,0.00539237024895832,0.0255416989063351,0.066179460990183,0.520416605408413,78.1881583592776,58.7470639291503,51.3483847502647,41.5840629926987,32.4586719272199,26.9855221814055,18.0095787032187,11.2851885415324,6.34053496863582,0.425858932687564,0.361133377117918,0.294109135080815,0.278309787174559,0.276478996039346,0.361666490095802
3,797,0.336873282556231,0.989419188261423,0.104249172863396,3,0.0377630939537521,0.0187142087648716,0.0156440946141492,0.0167829329320142,0.0200527261561021,0.0213744447447821,0.0269884120243942,0.0430373822553241,0.109500790357633,0.187948234505723,0.000402196351416898,0.000140585266692049,1.30847511625684e-05,0.000109561747429233,3.04509456349747e-05,0.000222645154851577,0.000337368936203302,0.000796577308506954,0.0039778247625704,0.050320850206764,0.144192789776687,0.222678359589182,0.0354545280384409,0.0417307418171555,0.0927713053165162,0.564883919927807,74.1998444712411,58.4889547176474,53.0607229002878,46.1207034344286,30.9718822744588,25.0447901895467,17.5795859231776,11.2140287310171,6.33814337154442,0.382521855275606,0.324375338759065,0.293370468629985,0.275355762486006,0.298040258002969,0.396680188365929
4,105,0.335508650700295,0.988513747230214,0.0998901300029048,3,0.0411445198847175,0.0146210777838658,0.0151517422644273,0.0186800631180944,0.0184426563480705,0.0244697660650525,0.026540939039421,0.0448999606130875,0.108498344170885,0.186139173004008,0.000301616076490188,9.93314132276064e-05,3.12576134735396e-06,6.72830855323592e-05,2.36587777100482e-05,0.000248292566133682,0.000480394681891544,0.00116073917601999,0.0042253751386442,0.046251705565058,0.134561612223899,0.395637131272906,0.0221101032576192,0.0112047393219696,0.104102251294406,0.591014819376135,75.8511702321502,60.3502814328403,51.5092580313244,42.7179242407924,31.7957584372864,26.5900593969331,17.0049558553734,10.4254993233085,6.31172730387668,0.432479005513257,0.337128922631161,0.297616978410066,0.28138111256548,0.291722895996384,0.36478704952476
5,215,0.342550492101196,0.988648421692842,0.111646709681095,2,0.0337327726648862,0.0301221674375112,0.0145838262165855,0.0168884436768741,0.0188536947326775,0.0232404785479154,0.0249466552630063,0.0453081912796377,0.106007196554524,0.187597997029751,0.000409861024886844,0.000166181794697585,2.16625583762763e-05,9.70551612872691e-05,3.49764943872803e-05,0.000253130755535386,0.000375472973559589,0.00128452959304654,0.00293032542511197,0.048378029122244,0.11014666080664,0.382664888185573,0.023704997470273,0.0157123256674706,0.199480833036791,0.507336111338109,71.1284041170293,67.6476795134207,49.3308435096188,43.4113507028764,31.5446385084048,25.215964612966,16.0477751796051,10.7449524567092,5.93020599014337,0.439835689376306,0.348837825829187,0.294852104358842,0.273084626884078,0.273094159480633,0.370170807993983
6,394,0.261608242502619,0.987457305289475,0.0917869417651627,2,0.0441352492697297,0.0134436804221519,0.0155805255225726,0.0183229639290317,0.0182094042889117,0.0234333601420926,0.0271452392138413,0.0467918350033526,0.108682721032635,0.185318580092532,0.00028115798791717,0.000300280933830149,3.54134596020328e-05,8.67852692441196e-05,4.81433652842114e-05,0.000161879650588328,0.000317122551497813,0.00098354977332378,0.00441232023924173,0.0300278943835429,0.116308423001602,0.547220926830116,0.0148164309623542,0.0319188445132538,0.0936851926030802,0.508557317318867,74.2926270999854,63.3686832345822,49.7794014002922,43.3026186273166,32.6442391062663,25.5425995396475,20.073274342574,10.4829248311405,6.07331445287609,0.431565162844928,0.302086784837973,0.295317045670599,0.282276048756687,0.274919749812326,0.388210977608382
7,148,0.183123339497315,0.985222791150488,0.095361609588718,1,0.0512215666689424,0.0143706134701845,0.015483765273401,0.018809954564828,0.0182021411121868,0.022897608815631,0.0263790216750858,0.0469184809725368,0.107309684799017,0.188867905324213,0.000188577526045709,0.000122954992807331,1.55972551001035e-05,0.000127155720146638,5.03409678006344e-05,0.000207287554786113,0.000395722873731829,0.00090197556042129,0.00492187348404506,0.0501467787074188,0.149919166124951,0.599318752830631,0.0122024090226165,0.0378175835956242,0.106057610996105,0.509628323108531,70.7478840478264,62.5165016773457,56.9240015479883,42.5099027766516,33.5547683361702,26.6754275890972,18.549493132002,10.6995460979401,5.87560169669898,0.401727469199612,0.353640008931538,0.292315235940376,0.279620223928964,0.285826137173824,0.370335359253151
8,910,0.224193302356983,0.982172655317539,0.0868918375707723,2,0.0378575637113403,0.0259874043374,0.014940441878916,0.0177367575857174,0.0186036984075372,0.0230284432840385,0.0269583271904147,0.0453331392623287,0.106449350936613,0.186699763601087,0.000204319836076883,8.08156341676859e-05,5.8432670929609e-05,5.94512622968642e-05,3.79466394632227e-05,0.00024108914167533,0.000395679993581007,0.000624191491121054,0.00488028767974264,0.0402107431759488,0.148867915259664,0.228356632078559,0.0252980454388987,0.021850369010463,0.223599773067256,0.514342506432882,68.1049020513956,62.3483757284904,53.3571457629086,42.7614534855822,32.9050011878721,26.6390133013405,17.0947016318748,12.1040708349687,6.2109750874107,0.419011752856005,0.339892860252131,0.297657542249369,0.269609255184819,0.286967999692212,0.362481628617047
9,365,0.241307409590047,0.970556154798441,0.0930742964413002,2,0.0360036419562629,0.0170291608401768,0.0152377163942684,0.0177780316922315,0.019251991599744,0.022683899145977,0.0249755060584692,0.0455444372063739,0.10944886867858,0.186835643477281,0.000264330039964665,0.000108418412092854,2.46294920313027e-06,9.15185748773773e-05,3.8059554466812e-05,0.000183604693243916,0.000434840385324881,0.0010448307959508,0.00392364633717189,0.0649275650126842,0.119974561129727,0.203121252846817,0.0113341815836126,0.0292202321300571,0.100415305336216,0.452623695753066,81.676538657786,58.7858210790124,53.3015498105823,41.3919667541001,34.5303414399821,26.4869344767199,17.0784164177973,11.2209531124977,5.48142027684308,0.396715535037885,0.316716503955518,0.29339982054194,0.275806048228859,0.261734470415483,0.380956529380074
10,540,0.286675962591965,0.991094845420388,0.100828110890618,1,0.0271328207950875,0.0161549307738355,0.0135276520209629,0.0175872062318049,0.0187883766311981,0.0247408229001644,0.0275738464967999,0.0454680570611863,0.10945855910183,0.187182719752382,0.000283182279664222,0.000183710937805952,5.40506636227855e-05,0.000106207923181912,3.7718809046396e-05,0.000247573290331995,0.000417348191616551,0.00095335871293038,0.00446208795737948,0.0395842073584299,0.0948631225200357,0.30593694009328,0.0291373699257333,0.0118170654212367,0.0650484425834286,0.571662408908191,67.5309467231609,66.0409809681265,49.255461075687,42.6813373506882,33.4114332256704,24.7314865112707,18.5935782195766,10.5549391057914,5.96748616619155,0.404254906563257,0.359069314016838,0.296917031614703,0.27965939521809,0.287572998511392,0.377183161030956
