"draw","transmission_row","R0_scenario","coverage","ve_cross_protection","delivery","delay_weeks","hosp_rate","cfr_hosp_band_1","cfr_hosp_band_2","cfr_hosp_band_3","cfr_hosp_band_4","cfr_hosp_band_5","cfr_hosp_band_6","cfr_hosp_band_7","cfr_hosp_band_8","cfr_hosp_band_9","cfr_nonhosp_band_1","cfr_nonhosp_band_2","cfr_nonhosp_band_3","cfr_nonhosp_band_4","cfr_nonhosp_band_5","cfr_nonhosp_band_6","cfr_nonhosp_band_7","cfr_nonhosp_band_8","cfr_nonhosp_band_9","dw_mild_mod","dw_severe","dw_chronic","dur_mild_mod","dur_severe","dur_subacute","dur_chronic","life_expectancy_band_1","life_expectancy_band_2","life_expectancy_band_3","life_expectancy_band_4","life_expectancy_band_5","life_expectancy_band_6","life_expectancy_band_7","life_expectancy_band_8","life_expectancy_band_9","rec_acute","rec_subacute","rec_chronic"
1,1,"high",0.312403318590814,0.372298929291958,0.101323459848636,2,0.042875821424737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513110788646703,0.082862344625949,0.321981491170721,0.0210567581187251,0.0216130286376322,0.19869426895541,0.488551476319225,69.7695804669792,58.8282467010532,50.997135633411,42.252145703757,34.1920956794207,27.8884811072998,15.8771182198414,10.9160547665386,5.85751655220652,0.00453946703856508,0.551075558561667,0.444384974399768
2,2,"high",0.33343417793832,0.265300109856607,0.0980329772204025,1,0.0599731155198112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606073261756559,0.0920049139079314,0.223323382188971,0.0173880991692072,0.0177395217648472,0.0538684128260043,0.548795943717245,70.0060376387509,61.7774786281523,51.973708674046,43.2299079060243,33.7416495154625,26.186974460583,18.1968688092649,11.0245552020787,6.21379267957986,0.106711872454814,0.222252894864913,0.671035232680274
3,3,"high",0.241839037400189,0.239489266744101,0.100664784188047,2,0.0404142939954747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514861620730753,0.170805069793314,0.114448405181968,0.0192424687768035,0.0363548671093633,0.0491632911914093,0.479774314949167,71.2459616575421,59.5948885429806,51.8984467914956,45.5705964826104,30.8446892600068,26.3760981799815,16.8697959164558,11.1339695600154,6.56921807856234,0.073382154273502,0.272035560991906,0.654582284734592
4,4,"high",0.295129509813611,0.524074277229276,0.0970991565374616,2,0.0614182336024608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438467054191748,0.147336008651072,0.337979257152866,0.0192606046156149,0.0220287419641228,0.0274403400441693,0.533479410056092,66.7391960234782,67.3496450945848,56.7076398891458,42.0286604281694,33.5449880344975,25.2076519886925,18.1955832651151,10.8957912101079,5.89566430024067,0.093602331146979,0.320337822315458,0.586059846537563
5,5,"high",0.442305617436565,0.251205944344316,0.101004211184528,3,0.0533067071898765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493704968474221,0.0996535339528248,0.292094961348291,0.01863118070076,0.0494234221417949,0.121243532205061,0.565112540164303,69.8407605141889,60.0447109116264,52.2419548010893,43.3635481197902,33.3299659168736,22.6728064733474,18.2807934804531,11.1940987618524,6.00716317030497,0.0420608400580952,0.236516795133245,0.72142236480866
6,6,"high",0.256039620724964,0.459896024464261,0.100828716859417,1,0.0460637578209152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465332532919382,0.106235746757316,0.139366334870022,0.0163811526799371,0.0262134326311933,0.149934130929498,0.54422200624177,68.6783034339811,59.7520856838984,54.3497039535352,42.0966563522887,32.7326450562379,26.7424370018912,18.4897394458873,11.1496670864738,6.15973530436793,0.01831392823645,0.132222744955946,0.849463326807604
7,7,"high",0.287388383464257,0.35424122956736,0.09860417884352,1,0.0576976369140718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066382280756312,0.0735221042148214,0.371853270020674,0.0187679775094425,0.0250356518744288,0.0789932234330693,0.51390156366181,68.7771062506604,60.8921740531847,51.3326879690813,43.3400557052719,34.9620316873963,25.3774803411627,16.7090697299413,10.7347601063823,5.89114351584616,0.127609280638775,0.565231175688424,0.307159543672801
8,8,"high",0.31364732099828,0.541703832457965,0.109291253962419,2,0.0499513782745555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530956830030991,0.123760608846872,0.208776345390396,0.0151679002865368,0.0450790710887638,0.126599424755096,0.530949305760251,79.9247491028247,58.3643436846357,51.1236724812423,40.9724818728893,32.574245978368,27.1570048035738,17.2270521856191,10.42540972653,6.0241206418091,0.144708598177257,0.182324165632279,0.672967236190464
9,9,"high",0.24986870468924,0.240670117380661,0.0964626413796933,2,0.0416011455512909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474890087871521,0.109440530003766,0.176508752262266,0.0225302361744893,0.0332247849127816,0.156776562863366,0.485636176564683,64.9651844786988,59.9580856839066,49.5035414626928,40.604642936388,35.116470026973,25.541479425956,17.5696813904133,10.0565611798068,6.35409350907792,0.149477341918346,0.205583776567365,0.644938881514289
10,10,"high",0.253187299760459,0.423313595034272,0.0940457607895998,2,0.0542728262103797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622862480543231,0.122136207036978,0.166927035391987,0.0171578977215936,0.029595276839611,0.090017025739196,0.50958240434196,72.0399156583446,61.9239611168128,53.7143831417528,44.2778456723131,38.328099792668,24.992070203677,17.5962548194286,10.4867905172825,6.0579093316009,0.0813374310841096,0.0665466391049348,0.852115929810956
11,11,"high",0.279327730147045,0.195544819962801,0.0950846248611563,2,0.050891380303664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451267119929294,0.158026403672729,0.40522119351219,0.019862228540914,0.0382954175836191,0.112700472360808,0.514566712517657,71.8544844606086,64.4392733915873,54.0223512806588,42.0943200117463,35.1779486291613,24.8869965303954,17.4285374457377,10.8772508904355,5.5444040059906,0.0200433251464453,0.443276272237361,0.536680402616193
12,12,"high",0.306138720274002,0.225938561166594,0.10324079233737,2,0.0448925858730396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471541341312211,0.142650730467252,0.339713480067788,0.0238831695579943,0.022498672558042,0.375983631117224,0.567421807502752,69.0431656934676,56.727489447034,55.1475063779558,41.7357696405877,36.1680148735454,23.8782227816719,16.6399735387647,11.4846381002129,6.0645587565445,0.139137845325194,0.318726860003542,0.542135294671264
13,13,"high",0.272082383921542,0.459089787019163,0.0986371214125608,2,0.051285339950206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361870702785487,0.135340845916984,0.666626237490788,0.0136449224119427,0.0144509315235681,0.0702493718628215,0.492055880766211,68.0363330307857,62.4621481373986,55.4030093395487,42.1864869603319,31.2979338672326,25.7913274200276,16.9990094614955,11.1279776692347,5.71434163545628,0.0364530081932873,0.315347537077624,0.648199454729088
14,14,"high",0.308472045042558,0.48287773485795,0.0930012665225612,2,0.0419415247918784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562382907846247,0.103163997257439,0.194045361180093,0.0164452371288859,0.0370026556072317,0.0389951822423203,0.519089964186443,70.5359308362497,64.3220349916822,48.5286624781922,43.6149801101706,33.5089240883596,26.126381545622,18.5386954678074,10.8819688582136,6.25315944100775,0.0420409018815674,0.327576761609742,0.630382336508691
15,15,"high",0.307866920195528,0.219863105737347,0.104110361598687,2,0.0489014813273064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415690090712149,0.146268223794983,0.40441004178431,0.016241012959485,0.0169861301895156,0.0939124606539979,0.511783857694225,69.7863614115895,62.2000643759496,51.3896106175158,44.734506772606,30.8624395234245,25.2662445843194,18.2072450681054,11.404154312475,6.04656477148359,0.0313880914306758,0.0891217348273697,0.879490173741954
16,16,"high",0.38494319393242,0.1914182139155,0.101337719523749,1,0.055463798494377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539932148310621,0.131283192275002,0.574742934903147,0.0202054335464703,0.0220721850262275,0.0951148411012909,0.578678619871461,67.7554269860912,62.0038438499643,48.0705675051752,43.7443096883471,35.3453327517663,25.0002640293008,18.0359191990921,11.26776067406,6.40252782147162,0.152992034752919,0.078565017872388,0.768442947374694
17,17,"high",0.322041548332523,0.368159565045126,0.102957089341285,2,0.0561632156897347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545339736983331,0.190783222090322,0.378123600356645,0.0185059086172078,0.0258911252846503,0.12019956481772,0.557971650818855,72.9981617093934,59.9942750918412,50.9558402867315,42.2413905936372,35.208090801597,25.4726444712636,16.4676066533952,10.3600619313068,6.21659446714834,0.0236677382790241,0.372267374122287,0.604064887598688
18,18,"high",0.271033913684915,0.115658614128022,0.0983595283837382,2,0.0452093829328831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436514129763163,0.097376485604807,0.460713907318231,0.019878261113403,0.0126367671701233,0.17584514290806,0.550248771049395,81.030935206842,58.7992249067129,48.4466200561049,43.4782412951504,31.4606816429188,26.4979242379961,18.0563077707073,11.5796965762749,6.266959012636,0.0855578740285773,0.105172995395821,0.809269130575602
