"draw","R0","gamma","sigma","rho","prop_symp","immune_frac","total_infections","total_reported","peak_reported_wk","attack_pct","finite"
1,2.27240522942184,1.02984880133864,0.706988750159683,0.243634084610899,0.719861955353095,0,1079.41505337978,189.310951582162,44,1.010499020202,TRUE
2,2.54924115161126,1.01852582129924,0.731905478092486,0.188253362524083,0.801610457592975,0,11651.6866779475,1758.30784608251,44,10.9077763320984,TRUE
3,2.24053503148501,1.02172239816456,0.801749855603128,0.279303551933848,0.751002450610242,0,1185.81406378591,248.733573688543,44,1.11010490899261,TRUE
4,2.42276511470848,1.08154493431994,0.683069596564833,0.194741295360814,0.788609384951802,0,3920.26072375028,602.053308185333,44,3.66996884829646,TRUE
5,2.58971935786467,0.905734118581599,0.855899789213176,0.266837509513715,0.796766183602417,0,18919.1387990093,4022.34331207065,44,17.7112327270261,TRUE
6,2.71534077364933,1.2251799844676,0.797664946710981,0.194057825462446,0.817542198079888,0,58083.6625037938,9214.99984343458,42,54.3752691479066,TRUE
7,2.32303768963247,1.04708463102106,0.645821364266584,0.226484787554303,0.782250776648976,0,1276.09139395444,226.082433704535,44,1.19461841785662,TRUE
8,2.39454280443678,0.968674349439834,0.686225717761779,0.24343266180131,0.750192418504955,0,2318.61489747055,423.428553259364,44,2.17058125582339,TRUE
9,2.73473085005486,0.828556719477522,0.738612397862514,0.240498155293418,0.85077243990646,0,20914.7241723716,4279.345030739,44,19.5794085118626,TRUE
10,2.41689368267917,1.05239982457841,0.691072391260639,0.306945034447821,0.810011114767548,0,3615.73469876763,898.976102973208,44,3.38488550717808,TRUE
11,2.59702156305074,1.09993043822048,0.795617405874678,0.252143646149872,0.80173422558585,0,27538.6789460506,5567.00428295007,44,25.7804521120114,TRUE
12,2.30530733988576,0.752173172972489,0.805122822957656,0.228432352924984,0.727523058204808,0,916.105713305231,152.247428930976,44,0.857616282817104,TRUE
13,2.32857924965655,0.707710007399643,0.870765378122986,0.232713100514802,0.859274312239011,0,1144.87059316854,228.933349097938,44,1.07177550380878,TRUE
14,2.51281501331542,1.12458329978334,0.810367465456935,0.18583382644823,0.822289841083924,0,17763.1741168458,2714.37762736858,44,16.6290714443417,TRUE
15,2.44825110185706,1.24036647678496,0.639615916268323,0.249553820654235,0.83826016708686,0,5389.80882866808,1127.49964635211,44,5.04569259377278,TRUE
16,2.47429653485871,0.79355627228663,0.74002541962678,0.199230796888747,0.77784744757919,0,3086.5188991209,478.321435267639,44,2.8894578722345,TRUE
17,2.23630690946945,0.904590244555145,0.714140576616158,0.187267663118289,0.753803173272307,0,597.556248187575,84.3528079897187,44,0.559404838220909,TRUE
18,2.42855984284234,0.961848199912428,0.77211129985516,0.262779574526049,0.867747761814481,0,4623.06745238665,1054.1813710094,44,4.32790437407475,TRUE
19,3.07433905271875,1.24768072558028,0.797949028952032,0.249482279625733,0.828664065306964,0,90051.0138763635,18616.8764608644,36,84.3016418988611,TRUE
20,2.41882753018867,0.745947692127028,0.992901489731598,0.130675607171485,0.806146115992671,0,4195.73391636642,441.993854590966,44,3.92785425610037,TRUE
21,2.56139466563426,0.867669916932531,0.825973507867779,0.18503593099294,0.809962955260561,0,11851.1773788276,1776.16261294611,44,11.0945304051934,TRUE
22,2.36437769145046,1.02349986670583,0.800145194730074,0.191081698258487,0.714967307502048,0,3678.81003904431,502.5886066308,44,3.4439337568286,TRUE
23,2.29813199567447,0.966308522677992,0.834850645122804,0.297818711949667,0.710528836876313,0,1974.74466905559,417.873316157748,44,1.84866567033851,TRUE
24,2.74287980676755,0.75687522824716,0.821474666675294,0.315398102166834,0.763349068825089,0,23159.4629419298,5575.84560889347,44,21.6808303144821,TRUE
25,2.11013509698388,1.09367194896722,0.708831003767182,0.218133407637852,0.815670459301776,0,286.418233071108,50.9609574734227,44,0.268131654251178,TRUE
26,2.59654432892592,0.95702324013889,0.734515263099081,0.201241073815089,0.818530735327656,0,13611.180421414,2242.060917563,44,12.7421647831998,TRUE
27,2.16144578664064,0.882835450058412,0.773400597278088,0.239310472115104,0.82094615094286,0,368.242806947227,72.3453541327834,44,0.344732079149248,TRUE
28,3.11756680330292,0.761595452145627,0.806612256971609,0.31583769604357,0.807926868461632,0,75094.6901175668,19162.1944863976,41,70.3002154255447,TRUE
29,2.49810806695042,0.94776035632743,0.824477946959195,0.299863279011994,0.82641569482,0,9867.67072444117,2445.3244553644,44,9.2376621648017,TRUE
30,2.31146067907077,0.898558760282428,0.778886536498467,0.258803856818039,0.776681357890145,0,1442.8583622127,290.02626260045,44,1.35073802865821,TRUE
31,2.79944564756001,1.03563908713478,0.773251186486114,0.256596788389722,0.904234045004012,0,55204.5109937147,12808.7467217016,43,51.6799391440879,TRUE
32,2.66650163363073,0.91774655928351,0.945676799339972,0.180491150241964,0.820192310951362,0,40878.8219863842,6051.59671398147,43,38.2688840913539,TRUE
33,2.83367806421208,0.925838355217675,0.84189808173822,0.230195991907502,0.781287953898001,0,59339.7606046056,10672.21770103,42,55.5511707588519,TRUE
34,2.7130095442599,0.888635595297508,0.875987826434424,0.324386330040363,0.795975673956593,0,38644.0926606504,9978.04491323454,43,36.1768326723932,TRUE
35,2.07582817335809,1.03673873995556,0.689822629786142,0.171405138193149,0.736632824525248,0,178.563309385946,22.5458768296449,44,0.167162806015677,TRUE
36,2.23920924068055,0.990745430255289,0.925975086681039,0.243903711741328,0.790460761340437,0,1688.29526189282,325.497102890959,44,1.58050483232805,TRUE
37,2.35533815198534,1.16953579730553,0.702055041234934,0.248431070841366,0.771705330007126,0,3043.26450779474,583.441224793492,44,2.8489650887425,TRUE
38,2.75890579300917,0.972754653581441,0.748127964818596,0.346930095299357,0.881910048613022,0,38800.2294678032,11871.3623320081,43,36.3230008123976,TRUE
39,2.50183989377974,0.978215532408962,0.856746870218351,0.222293756965135,0.77737601269308,0,12982.6393384127,2243.47582405762,44,12.1537533593079,TRUE
40,2.37446179561388,1.1958709279488,0.72608742944273,0.221484162238166,0.790324495418854,0,4375.99903179763,765.993944473542,44,4.09661021512604,TRUE
41,2.48002305696874,0.914416104525144,0.757155950256736,0.24194705925641,0.782016598513309,0,5542.53024552719,1048.68339349658,44,5.18866340154202,TRUE
42,2.38101816050301,1.28028880114692,0.903819943639258,0.291000196970667,0.853204424058538,0,13402.0019013661,3327.48462051469,44,12.5463414167442,TRUE
